"DA_UID","Population","Neighbourhood","Cluster","CommunityArea"
"46110001",3966,"Rosser-Old Kildonan","Seven Oaks West","Seven Oaks"
"46110002",3678,"Rosser-Old Kildonan","Seven Oaks West","Seven Oaks"
"46110003",563,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110004",449,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110005",1039,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110006",518,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110007",609,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110008",501,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110009",308,"Templeton-Sinclair","Seven Oaks East","Seven Oaks"
"46110010",795,"Garden City","Seven Oaks East","Seven Oaks"
"46110011",639,"Jefferson","Seven Oaks East","Seven Oaks"
"46110012",593,"Jefferson","Seven Oaks East","Seven Oaks"
"46110013",692,"Jefferson","Seven Oaks East","Seven Oaks"
"46110014",704,"Jefferson","Seven Oaks East","Seven Oaks"
"46110015",614,"Jefferson","Seven Oaks East","Seven Oaks"
"46110016",517,"Margaret Park","Seven Oaks East","Seven Oaks"
"46110017",579,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110018",755,"Jefferson","Seven Oaks East","Seven Oaks"
"46110019",627,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110020",704,NA,NA,NA
"46110021",753,"Seven Oaks","Seven Oaks East","Seven Oaks"
"46110022",521,"Jefferson","Seven Oaks East","Seven Oaks"
"46110023",613,"Jefferson","Seven Oaks East","Seven Oaks"
"46110024",623,"Jefferson","Seven Oaks East","Seven Oaks"
"46110025",631,"Jefferson","Seven Oaks East","Seven Oaks"
"46110026",589,"Jefferson","Seven Oaks East","Seven Oaks"
"46110027",591,"Jefferson","Seven Oaks East","Seven Oaks"
"46110028",586,"Jefferson","Seven Oaks East","Seven Oaks"
"46110029",678,"Jefferson","Seven Oaks East","Seven Oaks"
"46110030",525,"Garden City","Seven Oaks East","Seven Oaks"
"46110031",874,"Garden City","Seven Oaks East","Seven Oaks"
"46110032",627,"Garden City","Seven Oaks East","Seven Oaks"
"46110033",659,"Garden City","Seven Oaks East","Seven Oaks"
"46110034",585,"Garden City","Seven Oaks East","Seven Oaks"
"46110035",472,"Garden City","Seven Oaks East","Seven Oaks"
"46110036",475,"Garden City","Seven Oaks East","Seven Oaks"
"46110037",590,"Garden City","Seven Oaks East","Seven Oaks"
"46110038",572,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110039",682,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110040",437,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46110041",878,"Mynarski","Point Douglas North","Point Douglas"
"46110042",724,"Robertson","Point Douglas North","Point Douglas"
"46110043",678,"Robertson","Point Douglas North","Point Douglas"
"46110044",777,"Robertson","Point Douglas North","Point Douglas"
